Fold,ROC_AUC,PR_AUC
1,0.9259962049335864,0.7531026735007299
2,0.9054198292220114,0.5890172002293732
3,0.9237428842504745,0.658683379630061
4,0.9399267399267399,0.7215765087260759
5,0.8978021978021977,0.43426975188004413
6,0.9200854700854701,0.5380100749468717
7,0.8761294261294261,0.4331188914316474
8,0.9286324786324787,0.6149364105806051
9,0.9095848595848597,0.6267741225436001
10,0.8802197802197802,0.38011407958990134
