Fold,ROC_AUC,PR_AUC
1,0.8240393109540636,0.5591577674875465
2,0.8448542402826855,0.5753434595278392
3,0.8860424028268551,0.6935264875020588
4,0.9575971731448762,0.7902116345869392
5,0.8965326855123674,0.6578160516672756
6,0.8893684688777829,0.6467329726505295
7,0.9394025442980464,0.7902243766010651
8,0.8871535665606542,0.5950635750108859
9,0.9060086324398001,0.7184677719031736
10,0.9432076328941391,0.77801450609746
